# Dependencies for a3-modular-kalah-OverCry
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:15 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-OverCry
# Codebase	./submissions/a3-modular-kalah-OverCry/a3-modular-kalah-OverCry

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Singleton.Printer	kalah.Singleton	Class	public	void*		Primitive	Return	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}		To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Local	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	0,3	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	Local	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	1	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	Local	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	2	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.ArrayList*	java.util	Class	InvokeSpecial	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	1,15	java.util.ArrayList#<init>() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	2	java.util.List#java.util.Iterator iterator() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	3	java.util.Iterator#boolean hasNext() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	4	java.util.Iterator#java.lang.Object next() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	6	kalah.Interface.ITeam#public abstract int getScore() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Team	kalah	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	6	kalah.Team#public int getScore() {}	Private	Polymorphic
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	7,16,22,31	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	8,19,25,32	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	9,17,23	kalah.Interface.ITeam#public abstract int getTeamNumber() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Team	kalah	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	9,17,23	kalah.Team#public int getTeamNumber() {}	Private	Polymorphic
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	10,18,24	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	13,20,26,37	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	14,29,38	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	21,27	java.util.List#boolean add(java.lang.Object) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	28,30	java.util.List#int size() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	33	java.util.List#java.lang.Object get(int) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	Cast	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	5	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.String*	java.lang	Class	Cast	Method	kalah.Singleton.Printer#public void printResult(com.qualitascorpus.testsupport.IO,java.util.List) {}	34	To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	PutStatic	Method	kalah.Singleton.Printer#default static <clinit>() {}	1	kalah.Singleton.Printer#public static kalah.Singleton.Printer _instance	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	Field	Field	kalah.Singleton.Printer#public static kalah.Singleton.Printer _instance		To whole module	Public	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Field	Field	kalah.Singleton.Printer#private final int PLAYER_1		To whole module	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	int*		Primitive	Field	Field	kalah.Singleton.Printer#private final int PLAYER_2		To whole module	Private	None
kalah.Team	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Team	kalah	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	Implements	Header			To whole module	Public	None
kalah.Team	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.Team#public <init>(int,int,int,int) {}	0,1,2,3	To whole module	Public	None
kalah.Team	kalah	Class	public	int*		Primitive	Local	Constructor	kalah.Team#public <init>(int,int,int,int) {}	0	To whole module	Private	None
kalah.Team	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Team#public <init>(int,int,int,int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Team	kalah	Class	public	java.util.ArrayList*	java.util	Class	InvokeSpecial	Method	kalah.Team#public <init>(int,int,int,int) {}	2	java.util.ArrayList#<init>() <>*	Private	None
kalah.Team	kalah	Class	public	kalah.House	kalah	Class	InvokeSpecial	Method	kalah.Team#public <init>(int,int,int,int) {}	4	kalah.House#public <init>() {}	Private	None
kalah.Team	kalah	Class	public	kalah.Store	kalah	Class	InvokeSpecial	Method	kalah.Team#public <init>(int,int,int,int) {}	8	kalah.Store#public <init>(int,int) {}	Private	None
kalah.Team	kalah	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Team#public <init>(int,int,int,int) {}	9	java.util.List#boolean add(java.lang.Object) <>*	Private	None
kalah.Team	kalah	Class	public	kalah.Team	kalah	Class	Put	Method	kalah.Team#public <init>(int,int,int,int) {}	6	kalah.Team#private int _addSead	Private	None
kalah.Team	kalah	Class	public	kalah.Team	kalah	Class	Put	Method	kalah.Team#public <init>(int,int,int,int) {}	5	kalah.Team#private kalah.Interface.IHouse _house	Private	None
kalah.Team	kalah	Class	public	kalah.Team	kalah	Class	Put	Method	kalah.Team#public <init>(int,int,int,int) {}	11	kalah.Team#private int _numTeams	Private	None
kalah.Team	kalah	Class	public	kalah.Team	kalah	Class	Put	Method	kalah.Team#public <init>(int,int,int,int) {}	3	kalah.Team#private java.util.List _stores	Private	None
